,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,Ambience_casual,Ambience_classy,Ambience_divey,Ambience_hipster,Ambience_intimate,Ambience_romantic,Ambience_touristy,Ambience_trendy,Ambience_upscale,BYOB,BYOBCorkage,BestNights,BestNights_friday,BestNights_monday,BestNights_saturday,BestNights_sunday,BestNights_thursday,BestNights_tuesday,BestNights_wednesday,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,BusinessParking_garage,BusinessParking_lot,BusinessParking_street,BusinessParking_valet,BusinessParking_validated,ByAppointmentOnly,Caters,CoatCheck,Corkage,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,GoodForMeal_breakfast,GoodForMeal_brunch,GoodForMeal_dessert,GoodForMeal_dinner,GoodForMeal_latenight,GoodForMeal_lunch,HappyHour,HasTV,Music,Music_background_music,Music_dj,Music_jukebox,Music_karaoke,Music_live,Music_no_music,Music_video,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,business_id,stars
0,Na,Na,Na,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,False,False,False,False,Na,Na,Na,Na,Na,False,Na,True,Na,False,False,False,False,False,False,Na,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,False,True,1,False,Na,True,Na,Na,Na,1RHY4K3BD22FK7Cfftn8Mg,4.0
1,Na,Na,full_bar,Na,True,False,False,True,False,False,False,False,False,Na,Na,Na,True,False,False,False,True,False,True,True,False,True,Na,False,False,True,False,False,Na,True,False,Na,Na,Na,False,False,Na,False,False,False,True,False,False,True,False,Na,True,False,False,False,False,Na,False,average,Na,False,casual,False,True,2,False,False,True,no,True,free,dQj5DLZjeDK3KFysh1SYOQ,4.5
2,Na,Na,none,Na,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,False,False,True,False,False,Na,True,Na,Na,Na,Na,Na,True,Na,False,False,False,False,False,True,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,False,casual,False,False,2,False,True,True,Na,True,no,v-scZMU6jhnmV955RSzGJw,4.5
3,Na,Na,full_bar,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,False,False,False,False,False,Na,True,Na,Na,Na,Na,Na,False,Na,False,False,False,False,False,False,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,False,casual,False,True,2,True,Na,True,Na,Na,no,KFbUQ-RR2UOV62Ep7WnXHw,3.0
4,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,True,Na,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,2,Na,Na,True,Na,Na,Na,QHr_fc_TLnGfUEuDEa2jDg,3.0
5,Na,Na,none,Na,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,Na,False,False,True,False,False,Na,False,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,False,casual,False,True,2,False,Na,True,Na,Na,no,t-6tdxRaz7s9a0sf94Tguw,4.5
6,Na,Na,none,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,1,False,Na,True,Na,Na,Na,5WMIvoMx3l1vn1uJ3HZB6Q,3.0
7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,False,False,True,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,3,Na,Na,Na,Na,Na,Na,wht5FaGi7r86WKW7-VX2lQ,4.5
8,Na,Na,none,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,False,False,False,False,Na,False,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,Na,Na,Na,Na,Na,Na,Na,quiet,Na,False,Na,True,False,1,False,Na,True,Na,Na,no,q4P3WHwC0lFafwvTlkKMIw,3.0
9,Na,Na,full_bar,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,False,False,False,False,False,Na,True,Na,Na,Na,Na,True,False,Na,False,False,False,False,False,False,True,Na,Na,False,True,False,True,False,False,False,average,Na,True,casual,Na,True,2,True,True,True,outdoor,Na,Na,hZj2HCiLae5-AxIp0im6lQ,2.5
10,Na,Na,full_bar,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,True,Na,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,False,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,True,casual,False,True,2,True,Na,True,Na,Na,Na,ebDtlHODMCNmV1PrdNXKnA,3.5
11,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,False,False,False,False,False,Na,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,casual,True,False,2,False,Na,True,Na,Na,no,El6Bum4I-0VWJRgzbtscJQ,3.0
12,Na,Na,none,Na,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,False,True,False,False,False,Na,True,Na,Na,Na,False,Na,True,Na,False,False,False,False,False,True,Na,False,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,True,casual,False,True,1,False,False,True,Na,Na,no,F6c3D1o9Z4Tl6cDorb3WgA,3.5
13,Na,Na,full_bar,Na,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,True,False,False,False,Na,True,Na,Na,Na,Na,Na,True,Na,False,False,False,True,False,True,Na,False,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,False,casual,False,True,2,True,True,True,Na,Na,no,nm5yx8yvJNJYVjaRPwjnsw,3.0
14,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,no,O-fYUqXjkwNvRfFnlUH6Iw,3.0
15,Na,Na,none,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,False,casual,Na,False,1,False,Na,True,Na,Na,Na,hZzwkAJG92KkszWO8PoOQA,4.0
16,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,1,Na,Na,Na,Na,Na,Na,pvKp4m3eFeHv15kYZaq1Bw,1.5
17,Na,Na,full_bar,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,False,True,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,very_loud,Na,False,Na,Na,True,1,Na,Na,Na,Na,Na,Na,hOv0yRX4Km89-7vJuzPteg,4.5
18,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,False,False,True,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,1,False,Na,Na,Na,Na,Na,i68lkBrGgUVwOk-LSvMj_A,3.0
19,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,Na,False,True,False,False,False,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,1,Na,Na,True,Na,Na,Na,U9vCFCDQMQ8GFr5z48h8tQ,5.0
20,Na,Na,none,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,True,False,False,False,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,casual,True,True,1,False,Na,True,Na,Na,Na,UmFty_GxdqVe35apYnmGbw,3.0
21,Na,Na,full_bar,Na,True,False,False,True,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,False,False,True,False,False,Na,Na,Na,Na,Na,Na,Na,False,Na,False,False,False,False,False,False,True,False,Na,Na,Na,Na,Na,Na,Na,Na,loud,Na,True,casual,False,True,2,False,Na,True,Na,Na,no,JrrY4v21k7_qYxIidhi-aw,3.5
22,Na,Na,beer_and_wine,Na,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,False,True,Na,True,False,True,False,False,Na,True,Na,Na,False,Na,Na,True,Na,False,False,False,True,False,True,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,True,casual,False,True,1,False,False,True,Na,True,free,BpJDI4Fj92lLNALQQeLvLg,4.0
23,Na,Na,full_bar,Na,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,False,False,True,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,True,Na,Na,True,2,False,Na,Na,Na,Na,no,_WsGlZnbXBdPcs0qM2Qm7w,3.0
24,Na,Na,full_bar,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,True,Na,False,False,False,False,False,Na,False,Na,Na,Na,Na,False,False,Na,False,False,False,False,False,False,True,True,Na,False,False,True,False,False,False,False,very_loud,Na,True,casual,False,True,1,False,Na,True,Na,Na,free,IcHVYlgNGR-Zz8fnceiJ6g,4.0
25,Na,Na,full_bar,Na,True,False,False,False,False,False,False,True,False,Na,Na,Na,True,False,True,True,False,False,False,True,Na,True,Na,False,False,True,True,False,Na,False,Na,Na,Na,Na,False,True,Na,False,False,False,True,False,False,Na,True,Na,False,False,False,False,False,False,False,average,Na,True,casual,False,True,2,False,Na,True,Na,Na,free,sMzNLdhJZGzYirIWt-fMAg,4.0
26,Na,Na,none,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,False,False,True,False,False,Na,False,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,average,Na,False,casual,False,False,1,False,Na,True,Na,Na,Na,rGdaD3j8leOCI0zz3g5Beg,5.0
