"business_id","X","address","attributes","categories","city","hours","is_open","latitude","longitude","name","postal_code","review_count","stars","state","topicindex"
"--GM_ORV2cYS-h38DSaCLw",1569,"407 S Central Ave","{'Alcohol': ""u'none'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'HasTV': 'False', 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'loud'"", 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'RestaurantsPriceRange2': '1'}","Restaurants, Pizza, Chicken Wings, Salad","Canonsburg","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-23:0'}",1,40.2525027,-80.1839004,"Mm Mm Pizza,branch1",15317,10,3.5,"PA",4
"--ujyvoQlwVoBgMYtADiLA",3252,"830 Clairton Blvd","{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'CoatCheck': 'False', 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'GoodForDancing': 'False', 'HappyHour': 'True', 'Caters': 'True', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""'loud'"", 'WiFi': ""'free'"", 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Restaurants, American (New), Bars, Sandwiches, Nightlife, Sports Bars","Pittsburgh","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-0:0'}",1,40.323927,-79.9438113,"Primanti Bros,branch17",15236,74,3.5,"PA",1
"-_xSWL2yxziy9aDHH6swBw",2799,"2050 Lebanon Church Rd","{'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'False', 'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'none'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'NoiseLevel': ""'average'"", 'DriveThru': 'True'}","Restaurants, Tex-Mex, Mexican, Fast Food","West Mifflin","{'Monday': '6:0-3:0', 'Tuesday': '6:0-3:0', 'Wednesday': '6:0-3:0', 'Thursday': '6:0-3:0', 'Friday': '6:0-3:0', 'Saturday': '6:0-3:0', 'Sunday': '6:0-3:0'}",1,40.348089,-79.945507,"Taco Bell,branch14",15122,10,2.5,"PA",5
"-1xCh7Cocn6IwFzhELyohA",2021,"1573 McFarland Rd","{'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'free'"", 'GoodForDancing': 'False', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': True, 'live': False, 'video': False, 'karaoke': False}"", 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'False', 'GoodForKids': 'False', 'BusinessAcceptsBitcoin': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsDelivery': 'False', 'Caters': 'False'}","Nightlife, Bars, Restaurants, Sports Bars, Mexican","Pittsburgh","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '13:0-2:0'}",1,40.3930494,-80.0459357,"Jose' and Tony's Mexican Restaurant",15216,42,2.5,"PA",1
"-2dlgoN1ass-zmrE5rqHGw",2515,"2701 Leechburgh","{'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'GoodForKids': 'True'}","Chicken Wings, Restaurants, Pizza, Italian","Lower Burrell","",1,40.5903417,-79.7379775,"Pizza Hut,branch13",15068,4,2,"PA",4
"-382X_bWhJKPJKP1VfXOmw",4202,"4800 Kennywood Blvd","{'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'DriveThru': 'False', 'BikeParking': 'False', 'RestaurantsTakeOut': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'WiFi': ""'no'"", 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'none'"", 'RestaurantsTableService': 'True', 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""'loud'"", 'BusinessParking': 'None', 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}""}","Restaurants, Sandwiches, Burgers, Diners, American (Traditional)","West Mifflin","",1,40.3872342382,-79.864342201,"Johnny Rockets,branch2",15122,42,2,"PA",1
"-3rvpkYkYD_N1IP4hSvD0A",2887,"297 Beverly Rd","{'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'True', 'Caters': 'False', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'True', 'NoiseLevel': ""u'quiet'"", 'HasTV': 'False', 'WiFi': ""u'free'""}","Restaurants, Sushi Bars, Japanese","Pittsburgh","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '11:30-23:0', 'Sunday': '12:30-21:0'}",0,40.3885913,-80.0493988,"Sushi Three",15216,23,3.5,"PA",5
"-40RDS4F54qiGiEQUsZaXA",3198,"2801 Freeport Rd","{'GoodForKids': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","Restaurants, Bars, American (Traditional), Nightlife","Pittsburgh","",0,40.539114,-79.832452,"Joey D's Bar & Grille",15238,3,3.5,"PA",4
"-7H-oXvCxJzuT42ky6Db0g",3769,"4305 Butler St","{'GoodForKids': 'False', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'WiFi': ""u'free'"", 'HasTV': 'True', 'BikeParking': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': True, 'upscale': False, 'casual': False}"", 'Alcohol': ""u'full_bar'"", 'Caters': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}""}","Beer, Wine & Spirits, Bars, Restaurants, American (New), Food, Beer Bar, Nightlife, Cocktail Bars","Pittsburgh","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '10:0-2:0'}",1,40.4707828,-79.9602498,"Industry Public House,branch2",15201,531,3.5,"PA",2
"-7PX_FOoCwktlunImRyZdg",2749,"126 S Highland Ave","{'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'Caters': 'True', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'HasTV': 'False', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}""}","Specialty Food, Local Flavor, Food, Italian, Pizza, Restaurants","Pittsburgh","{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0'}",1,40.460287,-79.92509,"Pizza Taglio",15206,128,4.5,"PA",4
