,business_id,stars,bad_num,good_num
0,1RHY4K3BD22FK7Cfftn8Mg,4.0,101,239
1,dQj5DLZjeDK3KFysh1SYOQ,4.5,790,2617
2,v-scZMU6jhnmV955RSzGJw,4.5,259,840
3,KFbUQ-RR2UOV62Ep7WnXHw,3.0,38,59
4,QHr_fc_TLnGfUEuDEa2jDg,3.0,19,58
5,t-6tdxRaz7s9a0sf94Tguw,4.5,125,294
6,5WMIvoMx3l1vn1uJ3HZB6Q,3.0,6,10
7,wht5FaGi7r86WKW7-VX2lQ,4.5,7,44
8,q4P3WHwC0lFafwvTlkKMIw,3.0,39,69
9,hZj2HCiLae5-AxIp0im6lQ,2.5,28,47
10,ebDtlHODMCNmV1PrdNXKnA,3.5,27,70
11,El6Bum4I-0VWJRgzbtscJQ,3.0,32,74
12,F6c3D1o9Z4Tl6cDorb3WgA,3.5,309,658
13,nm5yx8yvJNJYVjaRPwjnsw,3.0,265,549
14,O-fYUqXjkwNvRfFnlUH6Iw,3.0,60,146
15,hZzwkAJG92KkszWO8PoOQA,4.0,7,65
16,pvKp4m3eFeHv15kYZaq1Bw,1.5,32,48
17,hOv0yRX4Km89-7vJuzPteg,4.5,51,94
18,i68lkBrGgUVwOk-LSvMj_A,3.0,24,69
19,U9vCFCDQMQ8GFr5z48h8tQ,5.0,134,428
20,UmFty_GxdqVe35apYnmGbw,3.0,19,20
21,JrrY4v21k7_qYxIidhi-aw,3.5,840,1739
22,BpJDI4Fj92lLNALQQeLvLg,4.0,84,274
23,_WsGlZnbXBdPcs0qM2Qm7w,3.0,76,179
24,IcHVYlgNGR-Zz8fnceiJ6g,4.0,69,142
25,sMzNLdhJZGzYirIWt-fMAg,4.0,2926,7574
26,rGdaD3j8leOCI0zz3g5Beg,5.0,23,38
27,FKQUxOfW_W5R4OTut4G1Vw,4.0,118,290
28,Gp8_vPUZBncqy4Fwc8ga7A,3.5,82,171
29,nxeeZnumQkrEFORtFpwSvA,3.5,67,207
30,5G9aIrRiCD4TZCC5j2D39A,4.0,12,42
31,K0dp91jd_vqW4uNgvW6oag,3.0,75,204
32,JGXkldESnG69YXlSNVAgJQ,2.0,9,4
33,eU_713ec6fTGNO4BegRaww,3.5,608,1516
34,u5Wuzp8uC79IuCglLHXpag,4.0,32,101
35,vg-r3melXfuPnjMjDp3VOw,3.5,43,63
36,zzwhN7x37nyjP0ZM8oiHmw,4.0,145,489
37,TrZVtAQivYyGDOQH46_aFA,2.5,116,134
38,fEkaSXlQt1H-X9S_cpGNgA,4.5,12,73
39,g-9ioGyD740qSJ1vSN-VrA,2.5,12,18
40,jAQwIRxZNj2zndM5V9UOpw,3.5,13,61
41,EDjKoA9kv4bn9UXnocnFXA,3.0,9,24
42,R19oiRejCcgRzbeYz2UQig,4.0,73,159
43,Mem13A3C202RzT53npn4NA,4.5,192,653
44,ix8EZnEGi7pLJCf-KhKecQ,5.0,0,28
45,GD0XvS6HlCuDjtCDWiLkVQ,3.0,157,376
46,c9UmJiX2G7hKMpivZ3h1oQ,4.5,247,816
47,0VDcJitRHh5uJnkjymu_6A,2.0,136,214
48,_EVOLAjWYEfSOO_smbBxaA,2.5,65,95
