,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
4509,10974 Perry Hwy,"{'RestaurantsPriceRange2': '3', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}",71YhxOJlTEch0q5gmjKfHw,"Beer, Wine & Spirits, Food",Wexford,"{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-23:0', 'Thursday': '12:0-23:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-17:0'}",0,40.6177305,-80.0556072,1 For the Road,15090,5,4,PA
2052,654 Washington Rd,"{'WheelchairAccessible': 'True', 'Caters': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'BusinessAcceptsCreditCards': 'True'}",uZBRmbonKzNnl0rwY7COrQ,"Ice Cream & Frozen Yogurt, Food",Pittsburgh,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}",1,40.3811361,-80.0445734,15° Fahrenheit Rolled Ice Cream,15228,38,3,PA
4051,1722 Murray Ave,"{'Caters': 'False', 'RestaurantsTakeOut': 'False', 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'""}",r4SmPdkqIazIGPHXdPOG4Q,"Food, Ice Cream & Frozen Yogurt",Pittsburgh,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}",1,40.43723291,-79.92302973,15°fahrenheit Rolled Icecream,15217,9,3.5,PA
3344,75 S 17th St,"{'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'GoodForKids': 'False', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '3', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': True, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'HasTV': 'False', 'NoiseLevel': ""u'average'""}",PqBZ88vOqctCc0fRm2sXQg,"American (Traditional), Italian, American (New), Restaurants",Pittsburgh,"{'Tuesday': '4:0-22:0', 'Wednesday': '4:0-22:0', 'Thursday': '4:0-22:0', 'Friday': '4:0-23:0', 'Saturday': '4:0-23:0'}",0,40.4293613,-79.9817741,17th Street Cafe,15203,34,3.5,PA
107,2017 E Carson St,"{'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}""}",xRRDXfZL4V2-I7i2JLnpIA,"American (Traditional), Restaurants",Pittsburgh,,0,40.4287428,-79.976903,1889 Cafe,15203,10,3,PA
3588,24 Market Sq,"{'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True', 'GoodForKids': 'True'}",LCNc4r6LvVs-JBmfQYAqbw,"Restaurants, American (Traditional)",Pittsburgh,,0,40.441207,-80.0031108,1902 Tavern,15222,7,2.5,PA
1095,733 Broadway Ave,"{'RestaurantsReservations': 'True', 'NoiseLevel': ""'quiet'"", 'Ambience': 'None', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': 'None', 'GoodForMeal': 'None', 'Alcohol': ""'none'"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'BikeParking': 'True'}",Y_SKyssv8ClQ_p25lCsbAQ,"Seafood, Italian, Restaurants, Chicken Shop",McKees Rocks,"{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '16:0-21:0', 'Sunday': '16:0-20:0'}",1,40.472665,-80.074622,1905 Eatery,15136,31,4,PA
616,5744 1/2 Ellsworth Ave,"{'WiFi': ""u'free'"", 'BikeParking': 'True', 'GoodForKids': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""u'full_bar'"", 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'""}",CqU7SXYRo9EbMwlxrSvErA,"Nightlife, Restaurants, Bars, American (New), American (Traditional)",Pittsburgh,"{'Tuesday': '17:0-23:0', 'Wednesday': '17:0-23:0', 'Thursday': '17:0-23:0', 'Friday': '17:0-23:0', 'Saturday': '10:0-23:0'}",0,40.4556589,-79.9309996,1947 Tavern,15232,75,3.5,PA
1061,2002 Smallman St,"{'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True'}",I9Rw9CSZPNKvIYG0gOHOjw,"Coffee & Tea, Food",Pittsburgh,"{'Monday': '7:0-16:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-17:0'}",0,40.4516916,-79.9844073,"21st Street Coffee And Tea,branch1",15222,164,3.5,PA
2621,225 5th Ave,"{'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'Caters': 'False', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True'}",794S5anOvXONmkZ1n7Mu7Q,"Food, Coffee & Tea",Pittsburgh,"{'Monday': '7:0-16:30', 'Tuesday': '7:0-16:30', 'Wednesday': '7:0-16:30', 'Thursday': '7:0-16:30', 'Friday': '7:0-16:30', 'Saturday': '8:0-12:0'}",1,40.4413691,-80.0013643,"21st Street Coffee And Tea,branch2",15222,51,4,PA
