,Unnamed: 0,AcceptsInsurance,AgesAllowed,Alcohol,Ambience_casual,Ambience_classy,Ambience_divey,Ambience_hipster,Ambience_intimate,Ambience_romantic,Ambience_touristy,Ambience_trendy,Ambience_upscale,BYOB,BYOBCorkage,BestNights_friday,BestNights_monday,BestNights_saturday,BestNights_sunday,BestNights_thursday,BestNights_tuesday,BestNights_wednesday,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking_garage,BusinessParking_lot,BusinessParking_street,BusinessParking_valet,BusinessParking_validated,ByAppointmentOnly,Caters,CoatCheck,Corkage,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal_breakfast,GoodForMeal_brunch,GoodForMeal_dessert,GoodForMeal_dinner,GoodForMeal_latenight,GoodForMeal_lunch,HappyHour,HasTV,Music_background_music,Music_dj,Music_jukebox,Music_karaoke,Music_live,Music_no_music,Music_video,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,business_id,stars
7,7,Na,Na,full_bar,False,False,False,False,False,False,False,True,False,Na,Na,True,False,True,False,True,False,False,True,Na,True,False,False,True,False,False,Na,False,Na,Na,Na,Na,Na,False,False,False,False,True,False,True,Na,True,False,False,False,False,False,False,False,average,Na,False,casual,False,True,2,True,Na,True,Na,Na,free,-7H-oXvCxJzuT42ky6Db0g,3.5
13,13,Na,Na,full_bar,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,False,True,False,True,False,False,False,Na,True,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,loud,Na,False,casual,False,True,2,False,Na,False,Na,Na,free,-BuZrOMqgO4OU_UKYSddAg,3.0
15,15,Na,Na,beer_and_wine,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,True,False,False,False,False,False,False,False,quiet,Na,False,Na,Na,True,1,False,Na,Na,Na,Na,Na,-DUQQsE2QvFIuqO5EiChQA,4.5
18,18,Na,Na,full_bar,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,False,False,True,False,False,Na,False,Na,Na,Na,Na,Na,False,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,average,Na,True,casual,False,True,2,False,Na,True,Na,Na,no,-FcuxZqsQ0FO35GEXExwjw,3.5
20,20,Na,Na,full_bar,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,False,True,False,False,False,Na,False,Na,Na,Na,Na,Na,True,False,False,False,True,False,True,Na,True,Na,Na,Na,Na,Na,Na,Na,average,Na,True,casual,False,True,2,False,True,True,Na,Na,no,-HgbBv9Yjqv735F9fwCZNg,2.5
24,24,Na,Na,Na,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,False,False,False,False,False,False,False,True,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,casual,True,True,2,Na,Na,True,no,Na,Na,-JjKeyuY8h2gbV1FcpiYcQ,3.0
38,38,Na,Na,full_bar,True,False,False,False,False,False,False,False,False,Na,Na,False,True,True,True,False,False,False,True,Na,True,False,True,False,False,False,Na,True,Na,Na,Na,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,very_loud,Na,False,casual,True,True,2,True,True,True,no,Na,free,-SChP5zffbKeXWsJ6Rz5ig,4.5
39,39,Na,Na,none,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,True,Na,Na,True,Na,Na,True,False,False,False,False,False,False,Na,False,Na,Na,Na,Na,Na,Na,Na,average,Na,True,Na,True,True,2,Na,False,True,Na,True,Na,-SX8276QNjtSMu3ZIIcpLA,4.5
40,40,Na,Na,full_bar,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,True,False,True,False,False,False,Na,True,Na,Na,Na,Na,Na,True,False,False,False,False,False,False,Na,True,Na,Na,Na,Na,Na,Na,Na,average,Na,True,casual,False,True,2,True,True,True,Na,Na,free,-SYMuJ9jfIMkXUMYl_RFfw,4.0
48,48,Na,Na,full_bar,False,False,False,False,False,False,False,True,False,Na,Na,True,True,True,False,False,False,False,True,Na,True,False,True,True,True,False,Na,True,Na,Na,Na,Na,False,False,Na,Na,Na,Na,Na,Na,Na,True,False,False,False,False,True,False,False,average,Na,True,dressy,False,True,3,True,Na,True,Na,Na,free,-WVF5DKZeEWlMK8Cucto-A,3.5
