,names,stars,NOTbad,NOTgood,NOTmuch,amaz,averag,awesom,bad,basic,beauti,best,better,big,clean,complet,cool,crowd,deli,delici,disappoint,easi,fantast,favorit,fine,free,fresh,fun,good,great,happi,hate,high,huge,kind,larg,least,less,long,new,nice,ok,okay,old,origin,perfect,pertti,pleas,pleasant,plenti,quick,recommend,regular,serious,slow,small,soft,special,spici,surpris,sweet,tasti,top,warm,well,worth,wrong
0,-3rvpkYkYD_N1IP4hSvD0A,3.5,1,0,0,2,3,0,3,2,0,0,3,2,3,0,0,0,0,4,2,1,0,5,3,0,5,0,14,3,0,0,2,1,0,2,0,0,1,1,4,1,0,2,0,0,0,0,0,1,3,2,2,0,0,1,0,11,7,1,2,2,4,0,0,1,0
1,-AtzcXIwEP6yO7rM9CM9ww,4.0,1,1,0,1,0,3,3,0,1,10,0,1,0,1,0,0,0,2,1,0,1,2,0,0,8,0,15,15,3,1,1,0,0,4,0,0,0,1,4,0,3,2,0,1,0,0,2,0,2,0,0,1,1,0,1,0,4,0,0,1,1,0,4,0,0
2,-Is6Ney1wmsJAjvDdkaaaQ,3.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
3,-Kw6QNbBBgextJZlhtIq9w,4.5,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
4,-ORqiS4L-8pq3dLsUazXTg,4.0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0
5,-U_0rpIpGpOi-tokc91HUQ,4.5,3,0,0,21,4,2,0,1,4,16,8,2,0,0,0,0,0,24,2,1,5,7,2,3,18,0,33,28,2,0,4,1,2,2,4,0,1,4,7,2,0,1,1,5,0,1,4,4,3,7,0,2,0,3,2,2,5,0,1,4,7,0,13,4,1
6,-UjCvAsvBOr19y8lqPueiQ,2.5,2,2,0,0,0,0,3,2,0,0,1,3,2,0,0,0,0,2,0,0,1,1,2,0,3,0,10,0,0,0,1,1,1,0,0,1,0,3,3,3,0,5,1,0,0,0,0,0,3,2,0,0,0,0,0,1,0,2,1,2,2,0,1,0,0
7,-_xSWL2yxziy9aDHH6swBw,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
8,-cKjQJsU73tLKFA4unJbww,2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,3,1,2,1,0,2,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
9,-vEiA-QfE100luUOaJb00Q,4.0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,13,9,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0
