"business_id","stars","averageworkingtime","totalworkingtime","days"
"1RHY4K3BD22FK7Cfftn8Mg",4,NA,NA,NA
"dQj5DLZjeDK3KFysh1SYOQ",4.5,7,35,5
"v-scZMU6jhnmV955RSzGJw",4.5,9,45,5
"KFbUQ-RR2UOV62Ep7WnXHw",3,13.4,67,5
"QHr_fc_TLnGfUEuDEa2jDg",3,NA,NA,NA
"t-6tdxRaz7s9a0sf94Tguw",4.5,9.33333333333333,56,6
"5WMIvoMx3l1vn1uJ3HZB6Q",3,NA,NA,NA
"wht5FaGi7r86WKW7-VX2lQ",4.5,7.46428571428571,52.25,7
"q4P3WHwC0lFafwvTlkKMIw",3,NA,NA,NA
"hZj2HCiLae5-AxIp0im6lQ",2.5,11.8571428571429,83,7
"ebDtlHODMCNmV1PrdNXKnA",3.5,NA,NA,NA
"El6Bum4I-0VWJRgzbtscJQ",3,10,70,7
"F6c3D1o9Z4Tl6cDorb3WgA",3.5,12,84,7
"nm5yx8yvJNJYVjaRPwjnsw",3,11.2857142857143,79,7
"O-fYUqXjkwNvRfFnlUH6Iw",3,17.4285714285714,122,7
"hZzwkAJG92KkszWO8PoOQA",4,5.5,27.5,5
"pvKp4m3eFeHv15kYZaq1Bw",1.5,NA,NA,NA
"hOv0yRX4Km89-7vJuzPteg",4.5,NA,NA,NA
"i68lkBrGgUVwOk-LSvMj_A",3,4,20,5
"U9vCFCDQMQ8GFr5z48h8tQ",5,7.5,37.5,5
"UmFty_GxdqVe35apYnmGbw",3,10.1428571428571,71,7
"JrrY4v21k7_qYxIidhi-aw",3.5,14.5,87,6
"BpJDI4Fj92lLNALQQeLvLg",4,12.4285714285714,87,7
"_WsGlZnbXBdPcs0qM2Qm7w",3,NA,NA,NA
"IcHVYlgNGR-Zz8fnceiJ6g",4,15,105,7
"sMzNLdhJZGzYirIWt-fMAg",4,14,98,7
"rGdaD3j8leOCI0zz3g5Beg",5,6,36,6
"FKQUxOfW_W5R4OTut4G1Vw",4,6,30,5
"Gp8_vPUZBncqy4Fwc8ga7A",3.5,6,36,6
"nxeeZnumQkrEFORtFpwSvA",3.5,13.4285714285714,94,7
"5G9aIrRiCD4TZCC5j2D39A",4,19,133,7
"K0dp91jd_vqW4uNgvW6oag",3,7.85714285714286,55,7
"JGXkldESnG69YXlSNVAgJQ",2,NA,NA,NA
"eU_713ec6fTGNO4BegRaww",3.5,6.4,32,5
"u5Wuzp8uC79IuCglLHXpag",4,10.8571428571429,76,7
"vg-r3melXfuPnjMjDp3VOw",3.5,10.1428571428571,71,7
"zzwhN7x37nyjP0ZM8oiHmw",4,12.8571428571429,90,7
"TrZVtAQivYyGDOQH46_aFA",2.5,16,112,7
"fEkaSXlQt1H-X9S_cpGNgA",4.5,9.57142857142857,67,7
"g-9ioGyD740qSJ1vSN-VrA",2.5,NA,NA,NA
"jAQwIRxZNj2zndM5V9UOpw",3.5,NA,NA,NA
"EDjKoA9kv4bn9UXnocnFXA",3,12.2857142857143,86,7
"R19oiRejCcgRzbeYz2UQig",4,NA,NA,NA
"Mem13A3C202RzT53npn4NA",4.5,7.8,39,5
"ix8EZnEGi7pLJCf-KhKecQ",5,8.85714285714286,62,7
"GD0XvS6HlCuDjtCDWiLkVQ",3,NA,NA,NA
